Title, Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Romantic Movies, Thrillers
Fear Street Part 1: 1994, 0, 0, 0, 0, 1, 0, 0
A ClassicHorror Story, 0, 0, 0, 0, 1, 0, 0
The Swarm, 0, 0, 0, 0, 1, 0, 0
Aftermath, 0, 0, 0, 0, 1, 0, 0
Fear Street Part 2: 1978, 0, 0, 0, 0, 1, 0, 0
The Seventh Day, 0, 0, 0, 0, 1, 0, 0
The Devil Below, 0, 0, 0, 0, 1, 0, 0
Haseen Dillruba, 0, 0, 0, 0, 0, 1, 1
This Little Love Of Mine, 0, 0, 0, 0, 0, 1, 0
Prey, 0, 0, 0, 0, 0, 0, 1
Black Island, 0, 0, 0, 0, 0, 0, 1
Irul, 0, 0, 0, 0, 0, 0, 1
The Girl on the Train, 0, 0, 0, 0, 0, 0, 1
Red Dot, 0, 0, 0, 0, 0, 0, 1
Intrusion, 0, 0, 0, 0, 0, 0, 1
Hostage House, 0, 0, 0, 0, 0, 0, 1
Lethal Love, 0, 0, 0, 0, 0, 0, 1
Deadly Illusions, 0, 0, 0, 0, 0, 0, 1
